Component,RelativePath,UnitType,Extension,RoutineCount,RoutinesSample,Bytes
Client,Client/Forms Sources/frmCarte.frm,Form,.frm,1,Form_Load,1204
Client,Client/Forms Sources/frmFixItem.frm,Form,.frm,8,Form_Load;chkFix_Click;cmbItem_Click;cmbItem_Scroll;Form_MouseDown;Form_MouseMove;Form_MouseUp;picCancel_Click,6984
Client,Client/Forms Sources/frmFlash.frm,Form,.frm,6,Check_Timer;Form_Load;Form_MouseDown;Form_MouseMove;Form_MouseUp;Label1_Click,4289
Client,Client/Forms Sources/frmGestionMariage.frm,Form,.frm,1,Command1_Click,1396
Client,Client/Forms Sources/frmGuild.frm,Form,.frm,6,Command1_Click;Command2_Click;Form_Load;Form_MouseDown;Form_MouseMove;Form_MouseUp,3673
Client,Client/Forms Sources/frmMainMenu.frm,Form,.frm,41,getreselotionX;getreselotionY;Check1_Click;Form_GotFocus;Form_Load;Form_Unload;imgLogin_MouseDown;imgLogin_MouseMove;imgLogin_MouseUp;imgNouveau_MouseDown;imgNouveau_MouseMove;imgNouveau_MouseUp;imgPers_MouseDown;imgPers_MouseMove;imgPers_MouseUp;Label1_Click;Label2_Click;Label6_Click;lbl_creer_Click;lstChars_Click,30365
Client,Client/Forms Sources/frmMapReport.frm,Form,.frm,1,lstIndex_DblClick,1354
Client,Client/Forms Sources/frmMariage.frm,Form,.frm,2,Command1_Click;Form_Load,3222
Client,Client/Forms Sources/frmMirage.frm,Form,.frm,126,AddDef_Click;AddMagi_Click;AddSpeed_Click;AddStr_Click;artquete_Click;cbtr1_Change;cbth_keypress;cbtb_keypress;cbtg_keypress;cbtd_keypress;cbta_keypress;cbtra_keypress;cbtc_keypress;cbtac_keypress;cbtr_keypress;chkLowEffect_Click;chknobj_Click;chksound_Click;chkbubblebar_Click;chknpcbar_Click,224544
Client,Client/Forms Sources/frmNewChar.frm,Form,.frm,12,cmbClass_Click;Form_MouseDown;Form_MouseMove;Form_MouseUp;picAddChar_Click;picAddChar_MouseDown;picCancel_Click;Form_Load;picCancel_MouseDown;Timer2_Timer;txtName_GotFocus;txtName_KeyPress,19087
Client,Client/Forms Sources/frmPlayerChat.frm,Form,.frm,12,Form_KeyDown;Form_KeyPress;Form_Load;Form_MouseDown;Form_MouseMove;Form_MouseUp;Label2_Click;txtChat_GotFocus;txtChat_KeyDown;txtSay_GotFocus;txtSay_KeyDown;txtSay_KeyPress,8274
Client,Client/Forms Sources/frmPlayerHelp.frm,Form,.frm,5,btnAbsent_Click;Command1_Click;Command2_Click;Command3_Click;Command4_Click,6517
Client,Client/Forms Sources/frmPlayerTrade.frm,Form,.frm,11,Command1_Click;Command3_Click;Command4_Click;Command5_Click;Form_Load;Form_MouseDown;Form_MouseMove;Form_MouseUp;Items1_DblClick;Label1_Click;PlayerInv1_DblClick,10094
Client,Client/Forms Sources/frmServerChooser.frm,Form,.frm,10,cmdCancel_Click;cmdOk_Click;CmdRafraichir_Click;Form_Load;CheckServerStatus;Form_MouseDown;Form_MouseMove;Form_MouseUp;Label1_Click;lstServers_DblClick,6589
Client,Client/Forms Sources/frmSplashScreen.frm,Form,.frm,1,splashtimer_Timer,974
Client,Client/Forms Sources/frmTrade.frm,Form,.frm,14,ActuShop_Timer;Form_Load;Form_MouseDown;Form_MouseMove;Form_MouseUp;label_Click;Label7_Click;lblDeal_Click;lblVendre_Click;picFixItems_Click;picCancel_Click;picItem_Click;AffObj;picItem_DblClick,76660
Client,Client/Forms Sources/frmadmin.frm,Form,.frm,35,btnname_Click;btnPlayerSprite_Click;btnBan_Click;btnkick_Click;btnLOC_Click;btnRespawn_Click;btnWarpmeTo_Click;btnWarpto_Click;btnWarptome_Click;btnclose_Click;btnSprite_Click;btnSetAccess_Click;btnyname_Click;Command10_Click;Command11_Click;Command12_Click;Command13_Click;Command14_Click;Command15_Click;Command2_Click,49733
Client,Client/Forms Sources/frmbank.frm,Form,.frm,19,Command1_Click;Form_MouseDown;Form_MouseUp;jeter_Click;jinv_Click;Form_Load;DansInv;DansCoffre;Form_MouseMove;OK_Click;Picture1_Click;Picture1_DragDrop;Picture1_DragOver;Picture1_MouseMove;Picture2_Click;Picture2_DragDrop;Picture2_DragOver;Picture2_MouseMove;ActPic,42481
Client,Client/Forms Sources/frmcraft.frm,Form,.frm,7,CmdCrafter_Click;Form_Load;Form_MouseDown;Form_MouseMove;Form_MouseUp;lblQuitter_Click;scrlRecettes_Change,7737
Client,Client/Forms Sources/frmsplash.frm,Form,.frm,2,Form_KeyPress;Form_Load,2502
Client,Client/Modules Sources/ModINI.bas,Module,.bas,3,WriteINI;ReadINI;InitAccountOpt,2763
Client,Client/Modules Sources/ModPNG.bas,Module,.bas,14,InitGDIPlus;FreeGDIPlus;LoadPictureGDIPlus;InitDC;gdipResize;GetBitmap;CreatePicture;Resize;FillInWmfHeader;PngImageLoad;PngPictureLoad;LoadPNG;LoadImage;LoadImageStretch,13495
Client,Client/Modules Sources/fullscreen.bas,Module,.bas,0,,1627
Client,Client/Modules Sources/modClientTCP.bas,Module,.bas,65,TcpInit;TcpDestroy;IncomingData;HandleData;ConnectToServer;IsConnected;IsPlaying;SendData;SendNewAccount;SendDelAccount;SendLogin;SendAddChar;SendDelChar;SendGetClasses;SendUseChar;SayMsg;GlobalMsg;BroadcastMsg;EmoteMsg;GuildeMsg,85045
Client,Client/Modules Sources/modDatabase.bas,Module,.bas,7,StripTerminator;FileExiste;SaveLocalMap;LoadMap;GetMapRevision;MovePicture;MoveForm,1891
Client,Client/Modules Sources/modDirectDraw7.bas,Module,.bas,3,DestroyDirectDraw;BltSprite;NewCharacterBltSprite,2986
Client,Client/Modules Sources/modDirectX.bas,Module,.bas,39,InitDirectX;LoadMaxSprite;LoadMaxPaperdolls;LoadMaxSpells;LoadMaxBigSpells;LoadMaxPet;InitBackBuffer;UnloadTextures;PrepareSprite;PrepareSpell;PrepareBigSpell;PreparePaperDoll;PreparePet;InitSurfaces;DestroyDirectX;NeedToRestoreSurfaces;SetMaskColorFromPixel;DisplayFx;Night;BltWeather,46228
